document_id,publish_date,clean_title,authors,tags,category
624ac09c9a7947db3d80c98eIDE7mtH4RBqGn-8MXfGffQ,2022-04-04 10:29:44,Европейский банк развития приостановил доступ Москвы и Минска к финансам,[],"['55928d339a794751dc8303d6', '542d1e28cbb20f862ac2c1f6', '5409f140e063daa0f408ad1d', '55797e339a794789759c64a1']",5409f11ce063da9c8b588a18
620f6b899a7947701cf489e1KtVJsteHStO5oditt3Uvzw,2022-02-18 10:00:39,Кремль назвал регулярным процессом учебные запуски баллистических ракет,"['54244e01cbb20f03076b236d','5878a2ec9a7947e531faf52c']","['549d25df9a794775979561d2', '58abcf539a7947f18bc079eb', '5409f196e063daa0f408ae67']",5409f11ce063da9c8b588a12
620730cf9a7947ab96a44e27hk7puWJwSziw0m3sfTkKWA,2022-02-12 04:24:02,Госсекретарь Швеции заявила о нежелании вступать в НАТО из-за Украины,[],"['5430f451cbb20f73931ecd05', '5409f15de063daa0f408ada8', '5409f196e063daa0f408ae65']",5409f11ce063da9c8b588a12
6262a5889a79470b78c9ca307UKY2SSZTjCcjhwBzxw37w,2022-04-22 13:24:55,Песков назвал прагматичной выдачу лицензии Газпромбанку на платежи за газ,[],"['5409f297e063daa0f408b11c', '545caa9ecbb20f366651641e', '54254853cbb20f240250ba32', '5409f20ee063daa0f408af99', '5409f1afe063daa0f408aeb7']",5409f11ce063da9c8b588a12
626678929a79477ca0101568wuMYES90REuV5YhrN75IXg,2022-04-25 10:42:23,В Хабаровске задержали главу филиала РАНХиГС по обвинению в мошенничестве,[],"['5409f42ae063daa0f408b5d7', '585c20e19a79470efec59e76', '54b904fa9a79473ac6beefe9', '55928d4f9a794751dc830678', '543ec15ecbb20f6e1fde87aa', '5409f14fe063daa0f408ad6b']",5433e5decbb20f277b20eca9
61f9580f9a794794245a82b9HdvjUgVbRcax7cj-ve1N0Q,2022-02-01 16:40:14,Глава ВОЗ заявил о росте смертности из-за COVID в большинстве частей мира,[],"['5425e055cbb20f23bc9f131d', '5577f72f9a7947f6177effbc', '5489661a2ae5969de17286e8', '56a88f629a7947f5e7e9ce5f']",5433e5decbb20f277b20eca9
627a5c6f9a79473919928562NNfiRkZcQ5atkhebUrnu0A,2022-05-10 12:37:37,Третий за день губернатор объявил об уходе,[],"['58a43d329a794739fedd7225', '54dc84b69a79477970b4fd42']",5409f11ce063da9c8b588a12
626cdd489a794743d68e7595sV2ku2yISbSzagjLrginBQ,2022-04-30 06:57:29,Губернатор сообщил о попытке самолета ВСУ попасть в Брянскую область,[],"['547cab2ccbb20f10e6f78407', '543e6d52cbb20fa8f2813058', '5409f19be063daa0f408ae7a', '54a3bc719a79475cf558319d', '5592b47a9a7947de211fce6e']",5433e5decbb20f277b20eca9
620407629a79471871388d31dkFlm-iEQYeqM6cd9yIasQ,2022-02-09 19:39:13,Антонов заявил о межпартийном консенсусе США по санкциям против России,[],"['54d510c19a7947184f116809', '58a5cb9c2ae596a9d2b67ee5', '5409f294e063daa0f408b111']",5409f11ce063da9c8b588a12
620ccc379a7947f24c5ae12062BHNYaBQxuQFf7YBtqlPw,2022-02-16 10:11:54,"Опубликовавшая время вторжения The Mirror написала, что его не произошло",[],"['5883d50f9a7947eac61a7dc5', '5409f17fe063daa0f408ae28', '56f4b2949a794741458a272c']",5409f11ce063da9c8b588a12
628fbe689a7947e1b08defc7pvilXnBrSLqfn89Qq7bHzA,2022-05-26 18:35:02,Медведев обвинил Зеленского в выдвижении «невыполнимых ультиматумов»,['5a9fa2e39a79470cd086f61a'],"['543283d8cbb20f35cbd0f765', '5409f15de063daa0f408ada8', '59e769ab9a794784016dbf12', '5409f200e063daa0f408af68', '614cb40f9a79477066594352', '621a3d0c9a794728d449ae5e']",5409f11ce063da9c8b588a12
61f885619a794736dae68b03gR1LM-aIRNyqXPsZGqI6zw,2022-02-01 01:25:04,SpaceX запустила ракету Falcon 9 с итальянским радиолокационным спутником,[],"['5409f21ee063daa0f408afc1', '54731372cbb20f270ebe0b6f', '5748bfbc9a79472ddf672c10', '54afcb049a7947629823e6ee']",540d5ecacbb20f2524fc050a
6289b32c9a794758e29541f3TI9y4TQWQHuLVf87SvVmGQ,2022-05-22 04:39:41,"Reuters узнал, что в КНДР сочли неискренней помощь США по COVID-19",[],"['5428d8aecbb20f531f21a38c', '5409f15ee063daa0f408adb0', '5e8ec7799a7947848604a99e', '5577f72f9a7947f6177effbc', '542498c7cbb20feba0485f3b']",5409f11ce063da9c8b588a12
61ff25b39a7947fdbc9ff9b5fSwCbTLUREu_L6u462dTwQ,2022-02-06 01:47:01,«Известия» показали кадры с места пропажи экс-замглавы Минюста Ялунина,[],"['5409f3a9e063daa0f408b36c', '5409f14fe063daa0f408ad68']",5409f11ce063da9c8b588a12
61fd1bdc9a79476c033454ecG8qFGLiOT8qEB3UHMKcPfg,2022-02-04 13:14:01,Захарова предупредила об ответных мерах России на британские санкции,[],"['556e926a9a794721a7851f18', '5409f1a3e063daa0f408ae98', '5409f294e063daa0f408b111', '5409f1afe063daa0f408aeb7']",5409f11ce063da9c8b588a12
627362c19a79475f06b4696cGZPvFDppRx6SRCCaW2uEwQ,2022-05-05 06:54:03,Производители алкоголя сообщили о проблемах с поставками из-за DDoS-атак,['5a9fa2e39a79470cd086f61a'],"['5409f293e063daa0f408b104', '544bcba1cbb20fef45039e6e', '54e43fda9a7947beb7a1d5d0']",540d5eafcbb20f2524fc0509
628aa87a9a794790465e924950tIkSGVSf2O8XQgk_uaHQ,2022-05-22 21:23:46,Боррель заявил об истощении военных запасов ЕС из-за поддержки Украины,[],"['6022cc509a794709b1aaa7f1', '5409f168e063daa0f408add3', '542b9627cbb20f572a4d3a9f', '54cf8b859a794771252ddf0b']",5409f11ce063da9c8b588a12
62723d049a7947fc6f2779c0g8VPM0yiT1qxfIwTKdXtLQ,2022-05-04 09:03:50,Шойгу сообщил о расширении контроля над территориями ДНР и ЛНР,['5a9fa2e39a79470cd086f61a'],"['5436346acbb20f86b01e0401', '5409f191e063daa0f408ae5c', '5409f1a2e063daa0f408ae94', '5409f15de063daa0f408ada8', '621a3d0c9a794728d449ae5e']",5409f11ce063da9c8b588a12
6242b9bd9a79474a4ab85170SEWyxNvTSXiNJgfA6zZX5Q,2022-03-29 08:00:39,Эрдоган переговорил с Абрамовичем перед встречей России и Украины,['619226fb9a7947e681606cc3'],"['5447d958cbb20f05db166907', '563388ca9a79475cce38995a', '5426a035cbb20f7903d4f89f', '5409f15de063daa0f408ada8', '5409f309e063daa0f408b1dd', '54ac0da19a7947ea8276b9cf']",5409f11ce063da9c8b588a12
620accb49a79473629b5a24fXOaBZsa7REWPLgabe-i3EA,2022-02-14 21:47:10,В Москве женщина выкинула младенца с четвертого этажа,[],"['55928e519a794751dc832063', '5409f15be063daa0f408ad93', '5409f33ae063daa0f408b240']",5433e5decbb20f277b20eca9
61fbe0cf9a794781656186340YrCSHXGT3qhE37LE7pZ0A,2022-02-03 14:13:42,Янгулбаев счел незаконным лишение его судейской неприкосновенности,"['5cc18fcd9a79473f104a314a','5878a2ec9a7947e531faf52c']","['61fa82929a7947fca00326d4', '5409f1f9e063daa0f408af59']",5409f11ce063da9c8b588a12
627cf09c9a79470a617cab29S54kGOf1RF6MthSv7DnJkA,2022-05-12 12:07:58,В России завели дело против «архива всего интернета»,['604f2c199a79478ec0029eae'],"['542580eacbb20f48618cb28b', '55307d9c9a79475ad63559c5', '5825fa689a7947a4e6a864f7', '5409f3ece063daa0f408b4ab']",5409f11ce063da9c8b588a12
61fe6b439a7947d1bef8f519o5rO-DSoSXih4FstmLbGEA,2022-02-05 12:30:49,Лечившихся от COVID более недели выпишут без отрицательных тестов,['5bfd1d039a794755995093f8'],"['5577f72f9a7947f6177effbc', '560624289a794734e21d20a7', '5e8ec7799a7947848604a99e']",5433e5decbb20f277b20eca9
6272a20a9a79472f9e06a6171eMo7z4rSbyUqJ8CmRn_OQ,2022-05-04 16:05:04,Три страны ЕС усомнились в эффективности запрета на транспортировку нефти,[],"['5428a3c1cbb20fd19019798f', '5409f270e063daa0f408b0a8', '54353661cbb20fbfe0c535ea', '59e769a89a794784016db926', '5592b4329a7947de211fc771']",5409f11ce063da9c8b588a12
6242d49c9a794757c6060a2dzErVj-zhRKujsta2EMvduA,2022-03-29 10:34:30,Шойгу пообещал призвать меньше россиян на срочную службу весной,['60bf2f0f9a79475cc856c5a1'],"['5436346acbb20f86b01e0401', '5409f198e063daa0f408ae6b', '56fd0fda9a7947031dc422c4', '54c649989a79471f18b4190c', '54435596cbb20f7043847585']",5409f11ce063da9c8b588a12
620ba09e9a79477e6c9759418J3aqa4CTb22Ccsb69BLaA,2022-02-15 12:57:14,Российские истребители с ракетами «Кинжал» прибыли в Сирию на учения,[],"['5409f196e063daa0f408ae67', '5409f264e063daa0f408b09a', '546b4d52cbb20f84029d5163', '5409f198e063daa0f408ae6b', '5592b2ac9a7947d291915be6', '55af44bd9a7947a1c703cc58']",5409f11ce063da9c8b588a12
6285f5f59a7947c3b2a8a633mx7ro2gAQs-Tk3O4cA-nEA,2022-05-19 08:55:29,Медведев назвал плюсы «политического дефолта»,['5a9fa2e39a79470cd086f61a'],"['543283d8cbb20f35cbd0f765', '54601c22cbb20f10b7ca02e7', '5409f294e063daa0f408b111']",5409f11ce063da9c8b588a13
6291024d9a7947525314e8eclvVdJRH1QHOmGq4O-wfRLg,2022-05-27 17:24:18,Афганское сопротивление сообщило о возобновлении боев в Панджшере,[],"['542894c3cbb20f42017deb28', '5430d4f2cbb20f0df1822e48', '612637659a79473bbe7316ca', '612612649a79472ca9cf4018']",5409f11ce063da9c8b588a12
620373b99a7947d1ef83e0dc0GrX5MFJR3WLzXKvgDNfYQ,2022-02-09 08:48:44,"«Наша задача»: что сказали Макрон, Шольц и Дуда об Украине и России",[],"['5409f15de063daa0f408ada8', '5409f140e063daa0f408ad1d', '5409f196e063daa0f408ae65', '5409f200e063daa0f408af68', '5409f15ae063daa0f408ad8a', '54366a01cbb20f810ba70f41']",5409f11ce063da9c8b588a12
62006d819a79474bf60f7e30l_p8Y0wrQS62brHwBRQSuw,2022-02-07 01:27:36,Депутаты предложили разрешить любые способы самообороны при защите дома,['61309cc39a7947257ab1d378'],"['5409f30fe063daa0f408b1f1', '5409f145e063daa0f408ad35', '5432632ccbb20f40e33a4802', '592fe98c9a7947777799d96d']",5433e5decbb20f277b20eca9
6260fd8c9a79476a0ec6429cuoAF6odiR6mOkJHU0Ccu-g,2022-04-21 07:45:35,В МИДе сообщили о ежедневных онлайн-переговорах с Украиной,[],"['5409f309e063daa0f408b1dd', '5409f140e063daa0f408ad1d', '5409f15de063daa0f408ada8']",5409f11ce063da9c8b588a12
6278383b9a79473e72e74cc2LahMlzNgTX2NIpfbBN5FAg,2022-05-08 23:24:07,Рогозин опубликовал свою песню после удаления YouTube видео с ним,['5e1ddee09a7947609de2f69b'],"['5451eb6bcbb20f340d3062c4', '5409f3c9e063daa0f408b44a', '5409f41de063daa0f408b58a']",5409f11ce063da9c8b588a12
6280aff09a79479bd4248a75bTL_EABbTOOFv0cnkvMGYw,2022-05-15 08:06:28,Минобороны сообщило об уничтожении пусковых установок С-300 под Сумами,['619226fb9a7947e681606cc3'],"['5409f198e063daa0f408ae6b', '5409f15de063daa0f408ada8', '547ec5ffcbb20fde0cc4dcac']",5409f11ce063da9c8b588a12
620293e59a7947947adda5fexMxkWattR_ewhI94MWFjLg,2022-02-10 07:00:15,«Металлоинвест» заявил о шантаже бывших миноритариев Лебединского ГОКа,['5878a7419a7947e8386fc46e'],"['5474704ecbb20fcae178201b', '552d437c9a794749bf322f1b', '5409f145e063daa0f408ad30', '555adf219a79470d28331502']",540d5eafcbb20f2524fc0509
620ed6909a794742ae555982moNQgUFBThGnzHThdjnZ4Q,2022-02-17 23:32:43,Путин присвоил генеральские звания 74 военным и правоохранителям,['5e1ddee09a7947609de2f69b'],"['58abcf539a7947f18bc079eb', '543c779ccbb20f66d9bcdbcb', '577fbd0c9a79471b890bcbd9', '542ce912cbb20f56834801ce', '5409f3a4e063daa0f408b34f', '54dca6ae9a794714bd831b26', '559548d99a7947339eb6dd08']",5433e5decbb20f277b20eca9
620662e39a79476def111924AM6L3b67QveW7bf4kmmnDw,2022-02-11 14:11:01,Глава ДНР заявил о желании увидеть Украину в Союзном государстве,['5878a2ec9a7947e531faf52c'],"['5497a96d9a7947fae31f89e0', '5409f2c9e063daa0f408b17d', '5409f15de063daa0f408ada8']",5409f11ce063da9c8b588a12
626296869a7947044b196e4cZ7GzXpi2TV6UZ8v8Pkmvwg,2022-04-22 12:01:47,Макрон предупредил о проблемах зимой при отказе ЕС от российского газа,['5a8d11a39a7947c5e1550980'],"['58fda2219a7947718b2933e1', '5409f16ae063daa0f408adda', '5409f15ae063daa0f408ad8a', '5409f15de063daa0f408ada9', '5409f140e063daa0f408ad1d']",5409f11ce063da9c8b588a12
61ff02d69a7947f5f9b72709cjnL4V-aT26UI7UwXLvprA,2022-02-05 23:28:37,"Елизавета II пожелала, чтобы жена Чарльза стала королевой-консортом",['5e1ddee09a7947609de2f69b'],"['5409f1afe063daa0f408aeb7', '544a4279cbb20fadc4c42182', '551d65cd9a7947f2e6976e2e', '5a3526c89a7947b8636ff026', '61ffa5e19a79471a50ed39fc']",5409f11ce063da9c8b588a12
62453b479a7947ab176efdbbGuvZJAXKREinJX6EgY4QQg,2022-03-31 06:36:09,Лавров счел неприемлемым появление инфраструктуры НАТО в Центральной Азии,[],"['545c81a6cbb20fca592f6ed2', '542894c3cbb20f42017deb28', '556e926a9a794721a7851f18', '5409f309e063daa0f408b1dd']",5409f11ce063da9c8b588a12
6257ef009a79479f871e14b5rDrQJ01kQVme-mlTXcBi7A,2022-04-14 09:56:04,"Минобороны сообщило, что крейсер «Москва» «сохраняет плавучесть»",['5a8d11a39a7947c5e1550980'],"['5409f198e063daa0f408ae6b', '55a75fca9a79476ef75918a9']",5409f11ce063da9c8b588a12
62011dde9a79470a7b59492dwTE1up1VQpyuiIiGgPpTEg,2022-02-07 15:34:25,Начались переговоры Путина и Макрона в Кремле,[],"['58abcf539a7947f18bc079eb', '58fda2219a7947718b2933e1', '5409f309e063daa0f408b1dd']",5409f11ce063da9c8b588a12
61fbf0de9a794702a16d2b4eYhZV7apVTEebb5F6J7g0hQ,2022-02-03 16:02:37,Протасевич обвинил штаб Тихановской в организации посадки борта Ryanair,[],"['542d1e28cbb20f862ac2c1f6', '60ace83c9a794771e36a0f25', '5f2e50b69a7947344d41172d', '556411409a7947149e8af05e']",5409f11ce063da9c8b588a12
626141aa9a79478baac36310axq32Pf4Qei85bGxXF6tIQ,2022-04-21 21:30:08,Теледебаты укрепили отрыв Макрона от Ле Пен перед вторым туром,['613b3f049a7947536026e824'],"['58fda2219a7947718b2933e1', '547b0741cbb20f5b8c5ab185', '5409f15ae063daa0f408ad8a', '54432619cbb20f87865683d0', '55f66e209a7947c385825352', '621a3d0c9a794728d449ae5e']",5409f11ce063da9c8b588a12
624196f79a7947ec89cfe944YTrr_aOFQwWqUGsFBoPnEA,2022-03-28 11:37:48,В ФРГ сочли невозможным поддержать запрет российских энергоносителей,['6206513e9a79476587e1e14e'],"['5409f200e063daa0f408af68', '5409f15de063daa0f408ada9', '5409f203e063daa0f408af72', '56a74f9f9a79473c0f4b2f84']",5409f11ce063da9c8b588a12
