document_id,tags_text
624ac09c9a7947db3d80c98eIDE7mtH4RBqGn-8MXfGffQ,"['Европейский банк реконструкции и развития', 'Белоруссия', 'Россия', 'антироссийские санкции']"
620f6b899a7947701cf489e1KtVJsteHStO5oditt3Uvzw,"['РВСН', 'Владимир Путин', 'учения']"
620730cf9a7947ab96a44e27hk7puWJwSziw0m3sfTkKWA,"['Швеция', 'Украина', 'НАТО']"
6262a5889a79470b78c9ca307UKY2SSZTjCcjhwBzxw37w,"['Кремль', 'Дмитрий Песков', 'лицензия', 'Газпромбанк', 'Великобритания']"
626678929a79477ca0101568wuMYES90REuV5YhrN75IXg,"['Дальний Восток', 'РАНХиГС', 'руководитель', 'Филиал', 'задержание', 'мошенничество']"
61f9580f9a794794245a82b9HdvjUgVbRcax7cj-ve1N0Q,"['ВОЗ', 'коронавирус', 'смертность', 'пандемия']"
627a5c6f9a79473919928562NNfiRkZcQ5atkhebUrnu0A,"['Губернатор', 'Рязанская область']"
626cdd489a794743d68e7595sV2ku2yISbSzagjLrginBQ,"['ПВО', 'Брянская область', 'самолет', 'ВСУ', 'Александр Богомаз']"
620407629a79471871388d31dkFlm-iEQYeqM6cd9yIasQ,"['Анатолий Антонов', 'посол России в США', 'санкции']"
620ccc379a7947f24c5ae12062BHNYaBQxuQFf7YBtqlPw,"['военное вторжение', 'СМИ', 'Россиия']"
628fbe689a7947e1b08defc7pvilXnBrSLqfn89Qq7bHzA,"['Дмитрий Медведев', 'Украина', 'Владимир Зеленский', 'Германия', 'Олаф Шольц', 'Военная операция на Украине']"
61f885619a794736dae68b03gR1LM-aIRNyqXPsZGqI6zw,"['Италия', 'спутник', 'Space X', 'Falcon 9']"
6289b32c9a794758e29541f3TI9y4TQWQHuLVf87SvVmGQ,"['КНДР', 'США', 'COVID-19', 'коронавирус', 'помощь']"
61ff25b39a7947fdbc9ff9b5fSwCbTLUREu_L6u462dTwQ,"['исчезновение', 'Минюст']"
61fd1bdc9a79476c033454ecG8qFGLiOT8qEB3UHMKcPfg,"['Мария Захарова', 'МИД', 'санкции', 'Великобритания']"
627362c19a79475f06b4696cGZPvFDppRx6SRCCaW2uEwQ,"['алкоголь', 'DDos-атаки', 'ЕГАИС']"
628aa87a9a794790465e924950tIkSGVSf2O8XQgk_uaHQ,"['Жозеп Боррель', 'Евросоюз', 'Вооруженные силы', 'военная помощь']"
62723d049a7947fc6f2779c0g8VPM0yiT1qxfIwTKdXtLQ,"['Сергей Шойгу', 'ДНР', 'ЛНР', 'Украина', 'Военная операция на Украине']"
